input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: syntax based machine translation","syntax
machine translation","In the domain of Natural Language Processing, I want to learn about syntax based machine translation, what concepts should I learn first?",syntax;machine translation
"domain_1: Natural Language Processing
concept_1: convolutional neural networks",neural networks,"In the domain of Natural Language Processing, I want to learn about convolutional neural networks, what concepts should I learn first?",neural networks
"domain_1: Natural Language Processing
concept_1: dependency syntax",syntax,"In the domain of Natural Language Processing, I want to learn about dependency syntax, what concepts should I learn first?",syntax
"domain_1: Natural Language Processing
concept_1: multilingual model",transferring NMT model,"In the domain of Natural Language Processing, I want to learn about multilingual model, what concepts should I learn first?",transferring NMT model
"domain_1: Natural Language Processing
concept_1: NLP models",tokenization,"In the domain of Natural Language Processing, I want to learn about NLP models, what concepts should I learn first?",tokenization
"domain_1: Natural Language Processing
concept_1: visual knowledge augmentation",visual semantic,"In the domain of Natural Language Processing, I want to learn about visual knowledge augmentation, what concepts should I learn first?",visual semantic
"domain_1: Natural Language Processing
concept_1: image retrieval",information retrieval,"In the domain of Natural Language Processing, I want to learn about image retrieval, what concepts should I learn first?",information retrieval
"domain_1: Natural Language Processing
concept_1: multilingual word embedding",word embedding variations,"In the domain of Natural Language Processing, I want to learn about multilingual word embedding, what concepts should I learn first?",word embedding variations
"domain_1: Natural Language Processing
concept_1: robotic locomotion",robotics,"In the domain of Natural Language Processing, I want to learn about robotic locomotion, what concepts should I learn first?",robotics
"domain_1: Natural Language Processing
concept_1: Visual QA",question answering,"In the domain of Natural Language Processing, I want to learn about Visual QA, what concepts should I learn first?",question answering
"domain_1: Natural Language Processing
concept_1: heuristic search",search,"In the domain of Natural Language Processing, I want to learn about heuristic search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: question answering","probabilities
bayes theorem","In the domain of Natural Language Processing, I want to learn about question answering, what concepts should I learn first?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: thesaurus-based similarity","lexical semantics
wordnet
semantic similarity","In the domain of Natural Language Processing, I want to learn about thesaurus-based similarity, what concepts should I learn first?",lexical semantics;wordnet;semantic similarity
"domain_1: Natural Language Processing
concept_1: Variations of GANs","generative adversarial networks
generative and discriminative models
backpropagation
loss function","In the domain of Natural Language Processing, I want to learn about Variations of GANs, what concepts should I learn first?",generative adversarial networks;generative and discriminative models;backpropagation;loss function
"domain_1: Natural Language Processing
concept_1: context free grammars","structured learning
linguistics basics
word distributions
vector semantics
vector representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about context free grammars, what concepts should I learn first?",structured learning;linguistics basics;word distributions;vector semantics;vector representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: uncertainty",search,"In the domain of Natural Language Processing, I want to learn about uncertainty, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: bag of words model",vector representations,"In the domain of Natural Language Processing, I want to learn about bag of words model, what concepts should I learn first?",vector representations
"domain_1: Natural Language Processing
concept_1: pagerank",graph-based nlp,"In the domain of Natural Language Processing, I want to learn about pagerank, what concepts should I learn first?",graph-based nlp
"domain_1: Natural Language Processing
concept_1: neural summarization","seq2seq
beam search
text summarization","In the domain of Natural Language Processing, I want to learn about neural summarization, what concepts should I learn first?",seq2seq;beam search;text summarization
"domain_1: Natural Language Processing
concept_1: Meta-Learning","probabilities
optimization
machine learning resources
loss function","In the domain of Natural Language Processing, I want to learn about Meta-Learning, what concepts should I learn first?",probabilities;optimization;machine learning resources;loss function
"domain_1: Natural Language Processing
concept_1: sequence classification and conditional random fields","classification
machine learning resources","In the domain of Natural Language Processing, I want to learn about sequence classification and conditional random fields, what concepts should I learn first?",classification;machine learning resources
"domain_1: Natural Language Processing
concept_1: morphology and semantics in machine translation",machine translation,"In the domain of Natural Language Processing, I want to learn about morphology and semantics in machine translation, what concepts should I learn first?",machine translation
"domain_1: Natural Language Processing
concept_1: Variations of GANs","generative adversarial networks
generative and discriminative models
backpropagation
loss function","In the domain of Natural Language Processing, I want to learn about Variations of GANs, what concepts should I learn first?",generative adversarial networks;generative and discriminative models;backpropagation;loss function
"domain_1: Natural Language Processing
concept_1: named entity recognition","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about named entity recognition, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: bayes theorem",probabilities,"In the domain of Natural Language Processing, I want to learn about bayes theorem, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: text summarization",sentence representations,"In the domain of Natural Language Processing, I want to learn about text summarization, what concepts should I learn first?",sentence representations
"domain_1: Natural Language Processing
concept_1: classification","probabilities
loss function","In the domain of Natural Language Processing, I want to learn about classification, what concepts should I learn first?",probabilities;loss function
"domain_1: Natural Language Processing
concept_1: vector representations","structured learning
word distributions
natural language processing intro","In the domain of Natural Language Processing, I want to learn about vector representations, what concepts should I learn first?",structured learning;word distributions;natural language processing intro
"domain_1: Natural Language Processing
concept_1: evaluation of question answering",question answering,"In the domain of Natural Language Processing, I want to learn about evaluation of question answering, what concepts should I learn first?",question answering
"domain_1: Natural Language Processing
concept_1: bio text mining","structured learning
linguistics basics
text similarity
vector semantics
vector representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about bio text mining, what concepts should I learn first?",structured learning;linguistics basics;text similarity;vector semantics;vector representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: lexicography","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about lexicography, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: informed search",search,"In the domain of Natural Language Processing, I want to learn about informed search, what concepts should I learn first?",search
"domain_1: Natural Language Processing
concept_1: KKT conditions",optimization,"In the domain of Natural Language Processing, I want to learn about KKT conditions, what concepts should I learn first?",optimization
"domain_1: Natural Language Processing
concept_1: unsupervised machine translation",monolingual word embeddings,"In the domain of Natural Language Processing, I want to learn about unsupervised machine translation, what concepts should I learn first?",monolingual word embeddings
"domain_1: Natural Language Processing
concept_1: recursive neural network",probabilities,"In the domain of Natural Language Processing, I want to learn about recursive neural network, what concepts should I learn first?",probabilities
"domain_1: Natural Language Processing
concept_1: Visual QA",question answering,"In the domain of Natural Language Processing, I want to learn about Visual QA, what concepts should I learn first?",question answering
"domain_1: Natural Language Processing
concept_1: problem solving and search","search
probabilities","In the domain of Natural Language Processing, I want to learn about problem solving and search, what concepts should I learn first?",search;probabilities
"domain_1: Natural Language Processing
concept_1: pointer networks",training neural networks,"In the domain of Natural Language Processing, I want to learn about pointer networks, what concepts should I learn first?",training neural networks
"domain_1: Natural Language Processing
concept_1: bio text mining","structured learning
linguistics basics
text similarity
vector semantics
vector representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about bio text mining, what concepts should I learn first?",structured learning;linguistics basics;text similarity;vector semantics;vector representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: evaluation of question answering",question answering,"In the domain of Natural Language Processing, I want to learn about evaluation of question answering, what concepts should I learn first?",question answering
"domain_1: Natural Language Processing
concept_1: parsing",natural language processing intro,"In the domain of Natural Language Processing, I want to learn about parsing, what concepts should I learn first?",natural language processing intro
"domain_1: Natural Language Processing
concept_1: semantic role labeling","linguistics basics
natural language processing intro","In the domain of Natural Language Processing, I want to learn about semantic role labeling, what concepts should I learn first?",linguistics basics;natural language processing intro
"domain_1: Natural Language Processing
concept_1: Message Passing",matrix multiplication,"In the domain of Natural Language Processing, I want to learn about Message Passing, what concepts should I learn first?",matrix multiplication
"domain_1: Natural Language Processing
concept_1: vector representations","structured learning
word distributions
natural language processing intro","In the domain of Natural Language Processing, I want to learn about vector representations, what concepts should I learn first?",structured learning;word distributions;natural language processing intro
"domain_1: Natural Language Processing
concept_1: course introduction","probabilities
linguistics basics
hidden markov models
part of speech tagging
dynamic programming
statistical part of speech tagging
natural language processing intro","In the domain of Natural Language Processing, I want to learn about course introduction, what concepts should I learn first?",probabilities;linguistics basics;hidden markov models;part of speech tagging;dynamic programming;statistical part of speech tagging;natural language processing intro
"domain_1: Natural Language Processing
concept_1: machine translation techniques",machine translation,"In the domain of Natural Language Processing, I want to learn about machine translation techniques, what concepts should I learn first?",machine translation
"domain_1: Natural Language Processing
concept_1: monolingual word embeddings",bilingual word embeddings,"In the domain of Natural Language Processing, I want to learn about monolingual word embeddings, what concepts should I learn first?",bilingual word embeddings
"domain_1: Natural Language Processing
concept_1: computation theory",chomsky hierarchy,"In the domain of Natural Language Processing, I want to learn about computation theory, what concepts should I learn first?",chomsky hierarchy
"domain_1: Natural Language Processing
concept_1: unsupervised machine translation",monolingual word embeddings,"In the domain of Natural Language Processing, I want to learn about unsupervised machine translation, what concepts should I learn first?",monolingual word embeddings
"domain_1: Natural Language Processing
concept_1: context free grammars","structured learning
linguistics basics
word distributions
vector semantics
vector representations
natural language processing intro","In the domain of Natural Language Processing, I want to learn about context free grammars, what concepts should I learn first?",structured learning;linguistics basics;word distributions;vector semantics;vector representations;natural language processing intro
"domain_1: Natural Language Processing
concept_1: topic modeling","word distributions
latent variable models","In the domain of Natural Language Processing, I want to learn about topic modeling, what concepts should I learn first?",word distributions;latent variable models
